ticker,annual_avg_return,annual_avg_volatility,daily_avg_volume_usd
GGAL,1.7185440681431645,0.580440445639452,27880526.307053037
YPF,0.8520631274724025,0.601043322553302,44310915.65631685
BMA,1.6509629432765818,0.5910548907047763,15518742.539721444
BBAR,1.433850243219462,0.6680793622511599,6472934.4393249545
SUPV,1.6670012187960386,0.7404031484706406,6579145.317626047
PAM,0.5739506117911579,0.4402088328258114,12026991.176895868
CEPU,0.7041922728363333,0.5414390159529677,2964080.881704035
TX,0.0430176644458979,0.25683354293457417,7785440.166725432
EDN,0.8897045440529532,0.6316056172937665,1419755.541926717
CRESY,0.3084035759311337,0.42948135457714576,1715548.1830231727
TEO,0.5154026318414986,0.5625058353353611,1443663.7523569758
IRS,0.7520897835685962,0.5104241325174961,1377980.9056791048
TGS,0.6508082137382816,0.5827490622590896,3646702.7828886397
LOMA,0.305316068402439,0.4176007981704796,3035550.4202606184
MELI,0.6244323647945206,0.3316159379196331,595508825.1014831
VIST,0.5264100555412,0.42657734783651813,24780500.43925482
PBR,0.058809981012760464,0.3027157836460767,250783493.18927014
NU,0.6315887207200905,0.36315422386192403,358385977.6878743
ITUB,0.24919258079027687,0.25662031486056747,106931880.18907611
VALE,-0.03551007255214401,0.2731479919288847,306902627.15959096
BBD,0.0729968137673217,0.3250969653807955,53305387.307690345
BABA,0.33142896761925994,0.37014013206788815,1448984799.7479575
TME,0.7003086265952493,0.4921536338483547,96579705.00867026
JD,0.6292601374824982,0.5202866527243025,428504313.7888757
BIDU,-0.05603510499741556,0.39564455333218607,357177009.56000376
NIO,-0.15316881056635007,0.689461097409024,330845061.7057984
PDD,0.3415204522274514,0.5542584778401816,1305271130.8019757
ZTO,0.18613308919560417,0.3645866079887964,70475581.19241093
SONY,0.12208908032671507,0.2659303996986418,70739336.93766557
TM,0.01713239227859846,0.2666152737794017,63418537.57997543
MUFG,0.3352195664196734,0.29746671704385164,26168767.894346185
AAPL,0.32416442793142447,0.22651949818910913,11516915353.224987
MSFT,0.2602128794166997,0.19404045014645,8701989353.441704
GOOGL,0.21299937941517225,0.2780877516559294,4223378284.278924
AMZN,0.42659364018926604,0.2764339648450927,7337700182.722207
TSLA,0.14992887269792335,0.5432714098311345,20987663787.418736
META,0.6811361110126345,0.36207633459258964,7049689537.318747
NVDA,1.3277077498876542,0.5176721180604309,35848102695.03057
PYPL,0.45229467078564944,0.34769038502508365,891528541.978164
ADBE,-0.05680769186747412,0.3437187698705268,1702557077.7090647
INTC,-0.29842773722322086,0.504457320215761,1786367534.7693193
CSCO,0.1160815970705789,0.20429188413910152,935005150.9036943
IBM,0.5847674559280046,0.2137071577720251,749487565.0126139
ORCL,0.5476822636145361,0.3351575976946906,1098683438.8007693
QCOM,0.5209694792868046,0.3707114075961551,1473227901.3152833
AMD,0.5394916186420731,0.4834215876723162,8987918874.702541
NFLX,0.6892391194865594,0.29613572341437894,2243514145.2939353
JPM,0.4848298191740989,0.19887103863349448,1680637947.8612385
GS,0.6252764707488012,0.22841637686724,919567141.1175925
C,0.5263389129798116,0.2564587038655791,838093443.6653289
BAC,0.5089393779130278,0.23807548410970658,1422822165.7952862
WFC,0.5120203597264257,0.26069609416328693,950719424.9715532
JNJ,0.12363070517805756,0.15067867164162227,1071008204.6879057
PFE,0.021960250912509572,0.24463017024826758,1047760303.6524811
GILD,0.1705241424524969,0.23923313722529863,506836657.35133946
LLY,0.49288857308070566,0.2953468772262354,2296342143.0045233
SBUX,0.12014819973630439,0.38105029526522666,939724307.2126025
MCD,0.24186878024884467,0.16647880850923377,903274880.1096478
KO,0.2985299098157027,0.1220526197970734,833555717.4838111
PEP,0.13004853296498498,0.1579401607991495,909731875.9785001
WMT,0.4500301872552373,0.1877947798247382,1139849015.946508
