Ticker,Total Revenue % Annual,Gross Profit % Annual,Operating Income % Annual,EPS % Annual,EBITDA % Annual,Debt-to-Assets Ratio % Annual,ROE % Annual,ROA % Annual,FCF % Annual,P/E Ratio in start_date,Beta in start_date,Annual Return %
ADBE,20946999296,,,11.83,8134000128,13.700930185701331,0.35355,0.15969,6942000000.0,46.742184,1.299,13.609683045060095
AMD,24295000064,,,1.14,4479000064,4.423657656330559,0.03262,0.01249,1121000000.0,121.570175,1.706,42.401897549779605
ABNB,10840000512,,,2.88,1672999936,11.160087188181157,0.20873,0.046630003,3884000000.0,47.541664,1.156,18.31304662145703
GOOGL,339859013632,,,7.55,123469996032,7.083639833793913,0.32101002,0.16483,69495000000.0,23.140398,1.034,52.34674275337664
GOOG,339859013632,,,7.54,123469996032,7.083639833793913,0.32101002,0.16483,69495000000.0,23.407162,1.034,51.79690933819293
AMZN,620127977472,,,4.68,111583002624,25.691005467420915,0.22558,0.07069,32217000000.0,48.510685,1.146,48.24332547959078
AEP,19602200576,,,4.96,7258299904,45.10415373795043,0.10182,0.026129998,-2494300000.0,19.324596,0.539,8.766991888298525
AMGN,32533999616,,,7.82,12247000064,66.50575375177553,0.5572,0.04597,7359000000.0,34.856773,0.599,45.12757524096922
ADI,9700435968,,,3.27,4361349120,15.861684214843502,0.04658,0.0286,3122066000.0,66.72783,1.078,19.312324647477322
ANSS,2467742976,,,6.49,836108992,11.667493982896062,0.10479999,0.06086,691804000.0,53.20493,1.111,-2.655399916856761
AAPL,391034994688,,,6.07,134660997120,29.21502548084827,1.5741299,0.21464,108807000000.0,40.006588,1.24,9.160460176957482
AMAT,26854000640,,,8.62,8204000256,19.52227537505288,0.4391,0.15205,7594000000.0,20.071926,1.551,64.55277139217453
APP,4289730048,,,3.29,1975993984,59.28914217772211,1.1335399,0.18378,1057264000.0,122.036476,1.862,223.4356886951971
ARM,3535000064,,,0.61,520000000,2.8510155165888738,0.11887,0.030840002,947000000.0,230.96721,,157.30459934670836
ASML,26237100032,,,18.65,8865399808,11.591315773008821,0.49216,0.12707,3247200000.0,38.015015,1.104,42.33517311913854
